fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,service_channels,online_applications,web_visits_info_service,calls_received,in_person_applications,postal_mail_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2016-2017,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,"prior,crit",Provides financial counselling and mediation services to farmers in financial difficulty.,Offre des services de consultation financière et de médiation aux agriculteurs qui éprouvent des difficultés financières,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,NA,econom,NA,N,N,NA,ND,282,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service


The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,"prior,crit",Provides financial counselling and mediation services to farmers in financial difficulty.,Offre des services de consultation financière et de médiation aux agriculteurs qui éprouvent des difficultés financières,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,NA,econom,NA,N,N,NA,ND,149,20863,4819,3,185,443,NA,NA,Y,NA,N,NA,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service


The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,136,"AgriAssurance
National Industry Association Component

Formerly
AgriMarketing Program
Assurance Systems",Programme Agri-assurance : Volet Associations nationales de l'industrie,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides support, at the national level, to help industry develop and adopt systems, standards and tools to support quality attributes, health and safety claims about Canadian agricultural and agri-food products.","Le programme finance des projets, au niveau national, destinés à aider l'industrie à élaborer et à adopter des systèmes, des normes et des outils permettant de formuler des affirmations pertinentes sur la qualité, la santé et la salubrité des produits agricoles et agroalimentaires canadiens.",http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/?id=1515010952950,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/?id=1515010952950,AgriMarketing,Programme Agri-marketing,NA,econom,NA,N,Y,NA,ND,23,1276,0,0,0,1,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2016-2017,136,AgriMarketing Program Assurance Systems,"Programme Agri-marketing, volet Systèmes d'assurance",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,Provides funding for the development of national assurance systems and standards to support the Canadian agriculture products industry in meeting buyer and market demand for assurance and to enhance its competitiveness at home and abroad.,Offre du financement pour l'élaboration de normes et de systèmes nationaux d'assurance pour aider l'industrie canadienne des produits agricoles à répondre aux demandes d'assurance des acheteurs et des marchés et pour accroître la capacité concurrentielle au Canada comme à l'étranger.,,,AgriMarketing,Agri-marketing,NA,econom,NA,N,N,NA,ND,16,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,137,AgriMarketing Program Market Development,"Programme Agri-marketing, volet Développement des marchés",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,Provides funding to industry associations and small and medium sized enterprises to support the implementation of long-term international strategies aimed at enhancing marketing capacity and improved competitiveness in global markets.,Offre du financement aux associations sectorielles ainsi qu'aux petites et moyennes entreprises afin de favoriser la mise en œuvre de stratégies internationales à long terme visant à rehausser la capacité de commercialisation et à améliorer la compétitivité sur les marchés mondiaux.,,,AgriMarketing,Agri-marketing,NA,econom,NA,N,N,NA,ND,141,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2017-2018,137,"AgriMarketing Program
National Industry Association

Formerly
AgriMarketing Program 
Market Development",Programme Agri-marketing : Volet Associations nationales de l'industrie,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides support to increase and diversify exports to international markets and seize domestic market opportunities through industry-led promotional activities that differentiate Canadian products and producers, and leverage Canada’s reputation for high quality and safe food.","Le programme finance des projets qui vise à accroître et à diversifier les exportations à l'étranger, et à saisir des débouchés sur le marché national par l'entremise d'activités promotionnelles dirigées par l'industrie qui distinguent les produits et producteurs canadiens et misent sur la réputation du Canada comme producteur d'aliments de grande qualité et sans danger pour la santé.",http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/?id=1515092171804,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/?id=1515092171804,AgriMarketing,Programme Agri-marketing,NA,econom,NA,N,Y,NA,ND,46,1507,0,0,0,0,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2016-2017,138,AgriInnovation Program Industry-led Research and Development (Stream B),"Programme Agri-innovation, Activités de recherche et développement dirigées par l'industrie (volet B)",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides support for pre-commercialization Research, Development and Knowledge Transfer leading to innovative agriculture, agri-food and agri-based practices, processes and products.","Offre un soutien à la recherche, au développement et au transfert des connaissances préalables à la commercialisation et qui déboucheront sur des pratiques, procédés et produits agricoles, agroalimentaires et agroindustriels innovateurs.",,,AgriInnovation,Agri-innovation,NA,NGO,NA,N,NA,NA,ND,29,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2017-2018,138,"AgriScience Program 
Projects

Formerly
AgriInnovation Program 
Industry-led Research and Development (Stream B)",Programme Agri-science - projets,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"The program aims to accelerate the pace of innovation by providing funding and support for pre-commercial science activities and cutting-edge research that benefits the agriculture and agri-food sector and Canadians.

This component aims to support specific shorter-term research activities to help industry overcome challenges and address fiscal barriers experienced by small and emerging sectors. They also seek to mitigate high risk opportunities that have the potential to yield significant returns.","L'objectif du programme est d'accélérer le rythme des innovations, au moyen du financement et du soutien d'activités scientifiques de pré-commercialisation et de la recherche de pointe pour le bénéfice du secteur de l'agriculture et de l'agroalimentaire et des Canadiens.

Les propositions de projets comprennent des projets uniques ou des ensembles plus restreints de projets qui sont moins détaillés qu'une grappe agroscientifique.","http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-clusters/?id=1511185929317

http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/?id=1516993063537","http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-grappes/?id=1511185929317

http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/?id=1516993063537",AgriScience,Agri-science,NA,NGO,NA,N,NA,NA,ND,28,3060,162,0,0,0,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,139,"AgriInnovate Program 

Formerly
AgriInnovation Program 
Enabling Commercialization and Adoption (Stream C)",Programme Agri-innover,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"This program provides repayable contributions for projects that aim to accelerate the demonstration, commercialization and/or adoption of innovative products, technologies, processes or services that increase agri-sector competitiveness and sustainability.","Le Programme offre des contributions financières remboursables pour des projets qui visent à accélérer la démonstration, la commercialisation et l'adoption de produits, technologies, procédés ou services innovateurs afin d'accroître la compétitivité et la viabilité dans le secteur de l'agriculture.",http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/?id=1515682916298,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/?id=1515682916298,AgriInnovate,Agri-inoover,NA,NGO,NA,N,NA,NA,ND,2,3535,83,0,0,124,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2016-2017,139,AgriInnovation Program Enabling Commercialization and Adoption (Stream C),"Programme Agri-innovation, Facilitation de la commercialisation et de l'adoption (volet C)",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides repayable contributions to approved industry-led -commercial demonstration, commercialization or adoption projects.","Offre des contributions remboursables pour des projets approuvés de démonstration commerciale, de commercialisation ou d'adoption dirigés par l'industrie.",,,AgriInnovation,Agri-innovation,NA,econom,NA,N,N,NA,ND,36,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
