fiscal_yr,service_id,service_name_en,service_name_fr,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,target_type,service_std_target,volume_meeting_target,total_volume,performance,gcss_tool_fiscal_yr,channel,standard_channel_comment_en,standard_channel_comment_fr,standard_comment_en,standard_comment_fr,realtime_result_url_en,realtime_result_url_fr,department_name_en,department_name_fr
2017-2018,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,2094,Our goal is to notify you if your application has been accepted or not by end of next business day,Notre objectif est d'accuser réception de vos demandes d'ici un (1) jour ouvrable.,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,time,percentage,80,257,257,100,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/application-for-mediation/?id=1538136685779,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/demande-pour-la-mediation/?id=1538136685779,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017-2018,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,572,Our goal is to have all necessary documentation sent to creditors and producer seven (7) business days prior to the mediation meeting,Notre but est d'envoyer toute la documentation nécessaire aux créanciers et aux producteurs sept (7) jours avant la réunion de médiation.,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,acces,percentage,80,198,204,97.05882352941177,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/application-for-mediation/?id=1538136685779,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/demande-pour-la-mediation/?id=1538136685779,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017-2018,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,770,Our goal is to respond to general inquiries made to our phone number or email address before the end of the next business day,Notre objectif est de répondre aux demandes de renseignements générales reçues par téléphone ou par courriel avant la fin du jour ouvrable suivant.,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,time,percentage,80,5810,5934,97.9103471520054,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/application-for-mediation/?id=1538136685779,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/demande-pour-la-mediation/?id=1538136685779,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017-2018,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,573,Our goal is to schedule the first mediation meeting within 70 calendar days after acceptance of your application.,Notre but est de fixer la première réunion de médiation dans les 70 jours civils suivant l'acceptation de votre demande.,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,time,percentage,80,168,206,81.55339805825243,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/application-for-mediation/?id=1538136685779,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/demande-pour-la-mediation/?id=1538136685779,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017-2018,136,"AgriAssurance
National Industry Association Component

Formerly
AgriMarketing Program
Assurance Systems",Programme Agri-assurance : Volet Associations nationales de l'industrie,736,Send you an email acknowledging receipt of your application within 1 business day,D'accuser réception de votre demande dans un délai d'un jour ouvrable,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply/?id=1515011324107,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515011324107,acces,percentage,80,8,8,100,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-to-apply/?id=1515011266778,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515011266778,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017-2018,136,"AgriAssurance
National Industry Association Component

Formerly
AgriMarketing Program
Assurance Systems",Programme Agri-assurance : Volet Associations nationales de l'industrie,AAFC-002-01,Respond to general inquiries made to our phone number or email address before the end of the next business day,De répondre aux demandes de renseignements générales que nous recevons par téléphone ou par courriel avant la fin du jour ouvrable suivant,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply/?id=1515011324107,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515011324107,time,percentage,80,34,34,100,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-to-apply/?id=1515011266778,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515011266778,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017-2018,136,"AgriAssurance
National Industry Association Component

Formerly
AgriMarketing Program
Assurance Systems",Programme Agri-assurance : Volet Associations nationales de l'industrie,737,Notify you in writing of final approval or rejection within 100 business days of the application being deemed complete,D'évaluer votre demande et de vous envoyer une lettre d'approbation ou de rejet dans un délai de 100 jours ouvrables à compter de la date de réception de votre demande complète,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply/?id=1515011324107,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515011324107,acces,percentage,80,10,11,90.9090909090909,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-to-apply/?id=1515011266778,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515011266778,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017-2018,136,"AgriAssurance
National Industry Association Component

Formerly
AgriMarketing Program
Assurance Systems",Programme Agri-assurance : Volet Associations nationales de l'industrie,374,Send you a payment within 30 business days of receipt of a duly completed and documented claim. This is applicable only if an agreement is signed,Expédier un paiement dans les 30 jours ouvrables suivant la réception d’une demande de règlement dûment remplie et justifiée. Cette mesure s’applique uniquement si une entente est signée,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-4-after-you-apply/?id=1515011324107,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515011324107,time,percentage,80,66,71,92.95774647887323,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/step-3-how-to-apply/?id=1515011266778,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515011266778,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017-2018,137,AgriMarketing Program Market Development,"Programme Agri-marketing, volet Développement des marchés",740,Notify you in writing of final approval or rejection within 100 business days of the application being deemed complete,D'évaluer votre demande et de vous envoyer une lettre d'approbation ou de rejet dans un délai de 100 jours ouvrables à compter de la date de réception de votre demande complète,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-4-after-you-apply/?id=1515092708579,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515092708579,acces,percentage,80,3,3,100,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-3-how-to-apply/?id=1515092640615,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515092640615,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017-2018,137,AgriMarketing Program Market Development,"Programme Agri-marketing, volet Développement des marchés",AAFC-003-01,Respond to general inquiries made to our phone number or email address before the end of the next business day,De répondre aux demandes de renseignements générales que nous recevons par téléphone ou par courriel avant la fin du jour ouvrable suivant,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-4-after-you-apply/?id=1515092708579,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-4-apres-avoir-presente-votre-demande/?id=1515092708579,time,percentage,80,53,53,100,2017-2018,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/step-3-how-to-apply/?id=1515092640615,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/etape-3-comment-presenter-une-demande/?id=1515092640615,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
