fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,service_channels,online_applications,web_visits_info_service,calls_received,in_person_applications,postal_mail_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2016-2017,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,res,"prior,crit",Provides financial counselling and mediation services to farmers in financial difficulty.,Offre des services de consultation financière et de médiation aux agriculteurs qui éprouvent des difficultés financières,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,NA,econom,NA,N,N,ND,ND,282,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service


The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2016-2017,136,AgriMarketing Program Assurance Systems,"Programme Agri-marketing, volet Systèmes d'assurance",Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,res,prior,Provides funding for the development of national assurance systems and standards to support the Canadian agriculture products industry in meeting buyer and market demand for assurance and to enhance its competitiveness at home and abroad.,Offre du financement pour l'élaboration de normes et de systèmes nationaux d'assurance pour aider l'industrie canadienne des produits agricoles à répondre aux demandes d'assurance des acheteurs et des marchés et pour accroître la capacité concurrentielle au Canada comme à l'étranger.,,,AgriMarketing,Agri-marketing,NA,econom,NA,N,N,ND,ND,16,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,137,AgriMarketing Program Market Development,"Programme Agri-marketing, volet Développement des marchés",Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,res,prior,Provides funding to industry associations and small and medium sized enterprises to support the implementation of long-term international strategies aimed at enhancing marketing capacity and improved competitiveness in global markets.,Offre du financement aux associations sectorielles ainsi qu'aux petites et moyennes entreprises afin de favoriser la mise en œuvre de stratégies internationales à long terme visant à rehausser la capacité de commercialisation et à améliorer la compétitivité sur les marchés mondiaux.,,,AgriMarketing,Agri-marketing,NA,econom,NA,N,N,ND,ND,141,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,138,AgriInnovation Program Industry-led Research and Development (Stream B),"Programme Agri-innovation, Activités de recherche et développement dirigées par l'industrie (volet B)",Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides support for pre-commercialization Research, Development and Knowledge Transfer leading to innovative agriculture, agri-food and agri-based practices, processes and products.","Offre un soutien à la recherche, au développement et au transfert des connaissances préalables à la commercialisation et qui déboucheront sur des pratiques, procédés et produits agricoles, agroalimentaires et agroindustriels innovateurs.",,,AgriInnovation,Agri-innovation,NA,NGO,NA,N,NA,ND,ND,29,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,139,AgriInnovation Program Enabling Commercialization and Adoption (Stream C),"Programme Agri-innovation, Facilitation de la commercialisation et de l'adoption (volet C)",Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides repayable contributions to approved industry-led -commercial demonstration, commercialization or adoption projects.","Offre des contributions remboursables pour des projets approuvés de démonstration commerciale, de commercialisation ou d'adoption dirigés par l'industrie.",,,AgriInnovation,Agri-innovation,NA,econom,NA,N,N,ND,ND,36,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
2016-2017,133,AgriInvest,Agri-investissement,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides matching contributions to producers who make annual deposits to an AgriInvest account, to help manage income declines or make investments to mitigate risks or improve market income.","Offre des contributions de contrepartie aux producteurs qui font des dépôts annuels dans un compte Agri-investissement, afin de gérer les baisses de revenus ou de faire des investissements dans le but d'atténuer les risques ou d'améliorer les revenus tirés du marché.",,,AgriInvest,Agri-investissement,NA,econom,NA,N,Y,ND,ND,108429,0,0,0,15277,0,Y,Y,Y,Y,Y,Y,,,
2016-2017,134,AgriStability,Agri-stabilité,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,res,prior,Provides income support to producers who experience a large margin decline.,Offre un soutien du revenu aux producteurs qui subissent une baisse importante de leur marge.,,,AgriStability,Agri-stabilité,NA,econom,NA,N,Y,ND,ND,2223,0,0,0,4570,0,N,N,Y,N,Y,N,,,
2016-2017,125,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,adv,prior,"Provides information on market structure and performance, forecasts, market reports, policy backgrounders, and analysis of various agricutlure products","Offre des renseignements sur la structure et le rendement du marché, des prévisions, des rapports sur les marchés, des documents d'information sur les politiques et des analyses de différents produits agricoles.",,,Market Information and Analysis,Renseignements sur les marchés et analyses,NA,econom,NA,N,N,ND,ND,2945,0,1700,0,0,0,NA,NA,Y,Y,Y,Y,,,
2016-2017,140,AgriRisk,Agri-risques,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,res,non,"Provides support for research and development, implementation and administration of new risk management tools for use in the agriculture sector.","Offre une aide à la recherche et développement, à la mise en œuvre et à l'administration de nouveaux outils de gestion des risques qui seront utilisés dans le secteur agricole.",,,AgriRisk Initiatives,Initiatives Agri-risques,NA,NGO,NA,N,NA,ND,ND,31,0,0,0,0,0,Y,Y,Y,Y,Y,N,,,
2016-2017,aafc-aac - 10,Career Focus Program,Programme Objectif carrière,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,extern,res,non,Provides funding to organizations for the creation of agricultural internships that provide young Canadians with meaningful career-related work experiences.,Offre du financement aux organisations pour la création de stages en agriculture qui permettent aux jeunes Canadiens d'acquérir des expériences professionnelles utiles.,,,Career Focus Program,Programme Objectif carrière,NA,econom,NA,N,N,ND,ND,89,0,0,0,0,0,NA,NA,Y,Y,N,N,,,
