fiscal_yr,service_id,service_name_en,service_name_fr,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,target_type,service_std_target,volume_meeting_target,total_volume,performance,gcss_tool_fiscal_yr,channel,standard_channel_comment_en,standard_channel_comment_fr,standard_comment_en,standard_comment_fr,realtime_result_url_en,realtime_result_url_fr,department_name_en,department_name_fr
2018-2019,18,Learning Services,Services d'apprentissage,23,An agent will normally answer calls to the Client Contact Centre (1-866-703-9598 or 613-953-5400) within 1 minute.,Un agent répondra normalement aux appels au Centre de contact avec la clientèle (1-866-703-9598 or 613-953-5400) dans un délai de 1 minute.,https://www.csps-efpc.gc.ca/About_Us/service-eng.aspx,https://www.csps-efpc.gc.ca/About_Us/service-fra.aspx,time,percentage,80,41754,52192,0.8000076640098099,2017-2018,tel,,,"Available reports did not contain the total number of calls that satisfied the service standard, only the total number of calls and the percentage that met the service standard. The total displayed in the ""annual business volume satisfying the service standard"" has been calculated using the total annual business volume and the percentage that met the service standard.","Les rapports disponibles ne contiennent pas le nombre total d’appels qui satisfont à la norme de service, seulement le nombre total d’appels et le pourcentage d’appels qui satisfont à la norme de service. Le total indiqué comme volume annuel répondant à la norme de service (Volume d'activités annuelles qui répond à la norme) a été calculé à partir du volume annuel total et du pourcentage qui satisfait à la norme de service.",,,Canada School of Public Service,École de la fonction publique du Canada
2018-2019,16,Videoconferencing,Vidéoconférence,19,"Request fulfillment duration: 5 business days.
-Virtual Meeting Room (VMR) account creation: 5 business days.
-Scheduled Conference reservations: 5 business days.","Délai de réalisation d’une demande : 5 jours ouvrables.
-Création d’un compte de salle de réunion virtuelle (SRV) : 5 jours ouvrables.
-Réservations de conférences : 5 jours ouvrables.","http://service.ssc-spc.gc.ca/en/services/communicating/videoconferencing/users#standards,http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","http://service.ssc-spc.gc.ca/fr/services/communication/videoconference/utils#normes,http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante",time,percentage,95,0,2510,0.0,2018-2019,onl,,,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages.,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration.,,,Shared Services Canada,Services partagés Canada
2018-2019,14,GC WAN,Réseau étendu du RGC,14,Request fulfillment duration: 80 federal government working days (FGWD),Délai de traitement des demandes : 80 jours ouvrables du gouvernement fédéral (JOGD),"http://service.ssc-spc.gc.ca/en/services/infrastructure/network-infra/gcnetwan-admin#service,http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","http://service.ssc-spc.gc.ca/fr/services/infrastructure/infra-reseau/re-rgc-admin#normes,http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante",time,percentage,50,0,1034,0.0,2018-2019,onl,,,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages.,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration.,,,Shared Services Canada,Services partagés Canada
2018-2019,8,Email,Courriel,10,Request fulfillment duration: 20 days,Délai de traitement des demandes: 20 jours,"http://service.ssc-spc.gc.ca/en/services/communicating/email/gc-employees#standards,http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","http://service.ssc-spc.gc.ca/fr/services/communication/courriel/gc-employees#normes,http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante",time,percentage,99,0,10117,0.0,2018-2019,onl,,,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages.,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration.,http://www.google.ca,http://www.google.ca,Shared Services Canada,Services partagés Canada
2018-2019,15,Mobile Devices,Appareils mobiles,16,"Request fulfillment duration:
 5 business days","Traitement des demandes
 5 jours ouvrables","http://service.ssc-spc.gc.ca/en/services/communicating/mobile-dev-phones/mobile-users#standards,http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","http://service.ssc-spc.gc.ca/fr/services/communication/appareils-mobiles-lignefixe/mobiles-utils#normes,http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante",time,percentage,95,0,16889,0.0,2018-2019,onl,,,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages.,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration.,,,Shared Services Canada,Services partagés Canada
2018-2019,1098,Authorize a Representative,Autoriser un Représentant,1341,"Our goal is to update account information within four weeks of receiving a paper request to authorize or cancel a representative. Note: A paper request includes one that is submitted online using our ""Submit documents"" service.",Notre objectif est de mettre à jour les renseignements sur le compte dans les quatre semaines suivant la réception d’une demande en format papier visant à demander ou à annuler l’autorisation d’un représentant. Remarque : Les demandes qui sont soumises en ligne au moyen de notre service « Soumettre des documents » sont traitées comme des demandes en format papier.,https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/authorizing-a-representative-overview.html,https://www.canada.ca/fr/agence-revenu/services/impot/particuliers/sujets/demander-autorisation-representant.html,time,percentage,95,0,593673,0.0,2018-2019,oth,This service standard applies to the mail channel.,Cette norme de service s'applique au canal postal.,Total annual business volumes satisfying the service standard have not been included due to the underlying methodology used to calculate the extent to which the service standard target has been met. The performance measurement methodology is based on random samplings of results for each service channel at different points of time.,Le volume annuel total conforme à la norme de service n’a pas été inclus en raison de la méthode sous-jacente utilisée pour calculer la mesure dans laquelle la norme de service cible a été respectée. La méthode de mesure du rendement repose sur des échantillons aléatoires de résultats pour chaque canal de service à différents moments.,,,Canada Revenue Agency,Agence du revenu du Canada
2018-2019,18,Learning Services,Services d'apprentissage,26,The School will normally post a notice on GCcampus for a minimum of 6 months following any transformation or discontinuation of a course.,L'École affichera normalement un avis sur GCcampus pendant au moins 6 mois après la modification ou le retrait d'un cours.,https://www.csps-efpc.gc.ca/About_Us/service-eng.aspx,https://www.csps-efpc.gc.ca/About_Us/service-fra.aspx,time,percentage,95,0,0,ND,2017-2018,onl,,,Performance results are not available. A recommendation for 2019–2020 will be to remove this service standard and to consider replacing it with a more effective one.,"Les résultats de rendement ne sont pas disponibles. Pour 2019-2020, il sera recommandé de retirer cette norme de service et de la remplacer pour une norme plus efficace.",,,Canada School of Public Service,École de la fonction publique du Canada
2018-2019,1,Permission to Operate (domestically),Permission d'opérer (intérieur),28,Center of Administration for Permissions,Centre d'administration pour les permissions,"http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/paso/eng/1403831598660/1403831599519","http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/bpdpm/fra/1403831598660/1403831599519",time,percentage,90,4789,4789,1.0,,onl,,,,,,,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2018-2019,1,Permission to Operate (domestically),Permission d'opérer (intérieur),29,Center of Administration for Permissions,Centre d'administration pour les permissions,"http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/paso/eng/1403831598660/1403831599519","http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/bpdpm/fra/1403831598660/1403831599519",time,percentage,90,18513,18989,0.9749328558639212,,oth,,,,,,,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2018-2019,5,Regulatory Complaints,Plaintes règlementaires,30,Time required to process your complaint or appeal,Délais de traitement d'une plainte ou d'un appel,,,time,percentage,98,19,19,1.0,,oth,,,,,,,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
