fiscal_yr,service_id,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,target_type,service_std_target,volume_meeting_target,total_volume,performance,gcss_tool_fiscal_yr,channel,standard_channel_comment_en,standard_channel_comment_fr,standard_comment_en,standard_comment_fr,realtime_result_url_en,realtime_result_url_fr
2017-2018,AAFC_AAC-010,AAFC-010-02,Our goal is to acknowledge receipt of your application within one (1) business day,Notre objectif est d'accuser réception de vos demandes d'ici un (1) jour ouvrable.,http://www.agr.gc.ca/eng/programs-and-services/career-focus-program/step-4-after-you-apply/?id=1507746811346,http://www.agr.gc.ca/fra/programmes-et-services/programme-objectif-carriere/etape-4-apres-avoir-presente-votre-demande/?id=1507746811346,accur,percentage,0.8,0,0,ND,2014-2015,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400
2017-2018,AAFC_AAC-010,AAFC-010-03,Our goal is to assess our application and send you an approval or a rejection notification letter within 50 business days of receiving a fully complete applicant package,Notre objectif est d'évaluer votre demande et de vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet.,http://www.agr.gc.ca/eng/programs-and-services/career-focus-program/step-4-after-you-apply/?id=1507746811346,http://www.agr.gc.ca/fra/programmes-et-services/programme-objectif-carriere/etape-4-apres-avoir-presente-votre-demande/?id=1507746811346,time,percentage,0.8,13,13,1,2014-2015,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400
2017-2018,AAFC_AAC-010,AAFC-010-04,Our goal is to send you a draft proposed agreement for review witihn 30 business days of issuing an approval notification letter,Notre objectif est de vous adresser un projet d'accord pour que vous l'examiniez dans les 30 jours ouvrables suivant l'expédition d'une lettre d'avis d'approbation.,http://www.agr.gc.ca/eng/programs-and-services/career-focus-program/step-4-after-you-apply/?id=1507746811346,http://www.agr.gc.ca/fra/programmes-et-services/programme-objectif-carriere/etape-4-apres-avoir-presente-votre-demande/?id=1507746811346,time,percentage,0.8,70,70,1,2014-2015,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400
2017-2018,AAFC_AAC-010,AAFC-010-05,Our goal is to send you a final agreement within 30 business days of receiving fully completed required documentation that meets the elibility requirement,Notre objectif est de vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée.,http://www.agr.gc.ca/eng/programs-and-services/career-focus-program/step-4-after-you-apply/?id=1507746811346,http://www.agr.gc.ca/fra/programmes-et-services/programme-objectif-carriere/etape-4-apres-avoir-presente-votre-demande/?id=1507746811346,time,percentage,0.8,103,103,1,2014-2015,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400
2017-2018,AAFC_AAC-010,AAFC-010-01,Our goal is to respond to general inquiries made to our phone number or email address before the end of the next business day,Notre objectif est de répondre aux demandes de renseignements générales reçues par téléphone ou par courriel avant la fin du jour ouvrable suivant.,http://www.agr.gc.ca/eng/programs-and-services/career-focus-program/step-4-after-you-apply/?id=1507746811346,http://www.agr.gc.ca/fra/programmes-et-services/programme-objectif-carriere/etape-4-apres-avoir-presente-votre-demande/?id=1507746811346,time,percentage,0.8,388,392,0.9898,2014-2015,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400
2017-2018,AAFC_AAC-024,AAFC-024-01,Access: Response is provided within 30 days following receipt of request,L'accès à l'information:  Une réponse est fournir dans les 30 jours suivant la réception de la demande,http://www.agr.gc.ca/eng/about-us/offices-and-locations/access-to-information-and-privacy-services/service-standard/?id=1484245071234,http://www.agr.gc.ca/fra/a-propos-de-nous/bureaux-et-emplacements/services-dacces-a-linformation-et-de-protection-des-renseignements-personnels/norme-de-service/?id=1484245071234,time,percentage,0.8,161,161,1,2016-2017,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400
2017-2018,AAFC_AAC-024,AAFC-024-02,Privacy: Response is provided within 30 days following receipt of request,La protection des renseignements personnels:  Une réponse est fournir dans les 30 jours suivant la réception de la demande,http://www.agr.gc.ca/eng/about-us/offices-and-locations/access-to-information-and-privacy-services/service-standard/?id=1484245071234,http://www.agr.gc.ca/fra/a-propos-de-nous/bureaux-et-emplacements/services-dacces-a-linformation-et-de-protection-des-renseignements-personnels/norme-de-service/?id=1484245071234,time,percentage,0.8,32,32,1,2016-2017,NA,NA,NA,NA,NA,http://www.agr.gc.ca/eng/about-us/planning-and-reporting/service-standards-at-agriculture-and-agri-food-canada/?id=1481145978400,http://www.agr.gc.ca/fra/a-propos-de-nous/planification-et-rapports/normes-de-service-d-agriculture-et-agroalimentaire-canada/?id=1481145978400
2017-2018,737,1693,This service standard applies to the receipt of security and the privilege associated with the release of imported shipments prior to the payment of duties and taxes. The CBSA will aim to send an acknowledgement to the importer confirming receipt of the security within 21 calendar days., L'ASFC tâche de traiter les demandes au plus tard dans un délai de 90 jours civils à compter de la date de réception d'une demande correctement remplie et étayée.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,1281,1290,0.99302,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,719,1683, The CBSA will aim to issue a carrier code to those who meet carrier code eligibility requirements within 3 business days., L'ASFC tâche d'attribuer un code de transporteur à ceux qui répondent aux critères d'admissibilité dans un délai de 3 jours ouvrables.,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.85,1931,2716,0.71097,2017-2018,NA,NA,NA,NA,NA,NA,NA
2017-2018,755,1688," 1. Application Acknowledgement: Upon receipt of a complete and accurate EDI application from the client by fax or email, the CBSA will aim to acknowledge receipt of the application within 2 business days.","1. Accusé de réception de la demande : Lorsqu'un formulaire de demande complet et exact pour l'EDI est reçu du client par télécopieur ou courriel, l'ASFC tâche d'accuser réception de la demande dans un délai de 2 jours ouvrables.",http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/standards-normes-2017-2018-fra.html,time,percentage,0.95,4171,4171,1,2017-2018,NA,NA,NA,NA,NA,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-eng.html,http://www.cbsa-asfc.gc.ca/services/serving-servir/processing-traitement-fra.html
