fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,ident_platform,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,service_channels,calls_received,web_visits_info_service,online_applications,telephone_applications,in_person_applications,postal_mail_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2019-2020,2104,Women's Program,Programme de promotion de la femme,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,extern,gnc,prior,"The purpose of the Women’s Program is to advance equality for women in Canada by working to address or remove systemic barriers impeding women’s progress and advancement. The WP supports the Government of Canada’s goal of advancing gender equality in Canada. It is consistent with Government of Canada priorities related to economic prosperity, and supports Canada’s international commitments related to gender equality",Le Programme de promotion de la femme a pour but de promouvoir l’égalité entre les sexes au Canada et il travaille pour ce faire à réduire ou éliminer les obstacles systémiques qui freinent le progrès des femmes. Le Programme soutient la visée du gouvernement du Canada de promouvoir l’égalité entre les sexes au Canada. Il cadre avec les priorités du gouvernement du Canada en matière de prospérité économique et ses engagements internationaux en matière d’égalité entre les sexes.,,,"Expertise and Outreach,Community Action and Innovation","Expertise et information,Action communautaire et innovation",2019-2020,,"econom,NGO,PTC",N,N,N,N,"eml,fax,onl,person,post,tel",23,0,7,0,0,0,33,Y,Y,Y,N,N,N,"eml,fax,onl,person,post,tel",,
2019-2020,2105,Gender-Based Violence Program,Programme de financement de la lutte contre la violence fondée sur le sexe,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,extern,gnc,prior,"The purpose of the GBV Program is to strengthen the GBV sector to address gaps in supports for two groups of survivors: 1)  Indigenous women and their communities, and 2) underserved populations (including women living with a disability, non-status/refugee /immigrant women, LGBTQ2S, gender non-conforming people and ethno-cultural women) in Canada. The Program provides grant and contribution funding to Canadian organizations to improve supports to help create long-term, comprehensive solutions at the national, regional, and local levels.","Le Programme de financement de la lutte contre la violence fondée sur le sexe (le Programme) vise à renforcer la lutte contre la violence fondée sur le sexe (VFS) et, en particulier, à remédier au manque de soutien pour deux catégories de survivantes et survivants, soit : 1) les femmes autochtones et leurs communautés; et 2) les populations sous-desservies au Canada (notamment les femmes handicapées, les femmes réfugiées, immigrantes ou en situation irrégulière, les personnes allosexuelles et les femmes des minorités ethnoculturelles). Il s’agit d’un programme de subventions et contributions pour les organismes canadiens qui mènent des projets visant à améliorer les mesures d’aide offertes et à créer des solutions durables et complètes à l’échelle nationale, régionale et locale.",,,"Expertise and Outreach,Community Action and Innovation","Expertise et information,Action communautaire et innovation",2019-2020,,"econom,NGO,PTC",N,N,N,N,"eml,fax,onl,person,post,tel",1,0,0,0,0,0,1,Y,Y,Y,N,N,N,"eml,fax,onl,person,post,tel",,
2019-2020,2106,"Equality for Sex, Sexual Orientation, Gender Identity and Expression Program","Programme de promotion de l’égalité des sexes, de l’orientation sexuelle, de l’identité et de l’expression de genre",Women and Gender Equality Canada,Femmes et Égalité des genres Canada,extern,gnc,prior,"The Program supports action and innovation by investing in initiatives and organizations that work to bring about gender equality, including social, political and economic equality in relation to sex, sexual orientation, gender identity and expression. The Program responds to identified gaps and ongoing and emerging issues in advancing equality with respect to sex, sexual orientation, gender identity and expression in Canada.","Les initiatives, projets et programmes de promotion de l’égalité relativement au sexe, à l’orientation sexuelle, ainsi qu’à l’identité et à l’expression de genre sont pris en compte dans les travaux d’une vaste gamme d’organisations, y compris celles dont la principale raison d’être ne se situe pas dans la sphère de promotion de l’égalité des sexes, de l’orientation sexuelle, de l’identité et de l’expression de genre. Ce plus, la promotion de l’égalité relativement au sexe, à l’orientation sexuelle, de même qu’à l’identité et à l’expression de genre au Canada se situe dans un contexte mondial et engendre de plus en plus la collaboration du Canada avec des organisations internationales, ainsi que des échanges entre protagonistes canadiens et étrangers, au moyen de forums internationaux, en ce qui touche les connaissances et les pratiques exemplaires liées à la promotion de l’égalité relativement au sexe, à l’orientation sexuelle, de même qu’à l’identité et à l’expression de genre.",,,"Expertise and Outreach,Community Action and Innovation","Expertise et information,Action communautaire et innovation",2019-2020,,"econom,for,NGO,PTC",N,N,N,N,"eml,fax,onl,person,post,tel",7,0,0,0,0,0,7,Y,Y,Y,N,N,N,"eml,fax,onl,person,post,tel",,
2019-2020,1557,Certified Reference Materials,Matériaux de référence certifiés,National Research Council Canada,Conseil national de recherches Canada,"extern,enterprise","reg,reg_vol",prior,"Biotoxin, inorganic, organic, and nanomaterial certified reference materials for use in sample testing and analysis","Matériaux de référence certifiés biotoxines, inorganiques, organiques et nanomatériaux destinés aux tests et analyses des échantillons",https://nrc.canada.ca/en/certifications-evaluations-standards/certified-reference-materials,https://nrc.canada.ca/fr/certifications-evaluations-normes/materiaux-reference-certifies,Metrology,Métrologie,,oth,"econom,enviro,for,intern_gov,NGO,PTC",N,Y,NA,NA,"eml,fax,onl,oth,person,tel",ND,ND,744,0,0,ND,499,Y,NA,Y,Y,Y,Y,"eml,fax,onl,person,post,tel","CRA and SIN numbers are not required for the delivery of Certified Reference Materials 

The number of phone calls from clients is not tracked, however records of technical questions or complaints are maintained. The number of website visits to all the CRM pages online is not tracked. Method of CRM orders submitted is not tracked by online/in person/mail/other, however in FY19 58% of CRM orders were ordered and paid for online with a cc via the use of NRC's Virtual Store (data from CRM quarterly sales and inventory reports).","Le numéro de l’ARC et le NAS ne sont pas requis pour la prestation des matériaux de référence certifiés

On ne fait pas le suivi du nombre d’appels téléphoniques des clients; cependant, on conserve des dossiers sur les questions techniques ou les plaintes. On ne fait pas non plus le décompte du nombre de visites en ligne sur le site Web pour toutes les pages de l’outil de GRC. On ne fait pas le suivi de la méthode de commande dans l’outil de GRC (demandes en ligne, en personne, par courriel, etc.); cependant, pour l’exercice 2019, 58% des commandes ont été effectuées et payées en ligne au moyen d’une carte de crédit par l’entremise du magasin virtuel du CNRC (données extraites des rapports trimestriels sur les ventes et l’inventaire liés à l’outil de GRC)."
2019-2020,1275,IRAP Grants and Contributions,Subventions et contributions du PARI,National Research Council Canada,Conseil national de recherches Canada,extern,res,prior,"IRAP provides funding to innovative Canadian small and medium-sized enterprises (SMEs) to help build their innovation capacity and successfully take their ideas to market. Funding available through IRAP includes contributions to SMEs and to SME serving organizations (through regular funding and temporary funding programs), and contributions supporting employment of post-secondary graduates.","Le Programme d’aide à la recherche industrielle (PARI) offre du financement à de petites et moyennes entreprises (PME) canadiennes novatrices afin de les aider à renforcer leur capacité d’innovation et à réussir la mise en marché de leurs idées. Le financement offert dans le cadre du PARI comprend des contributions aux PME et aux organismes qui les servent (grâce à des programmes de financement réguliers et temporaires), ainsi que des contributions appuyant l’emploi de détenteurs de diplômes postsecondaires.",https://nrc.canada.ca/en/support-technology-innovation/financial-support-technology-innovation-through-nrc-irap,https://nrc.canada.ca/fr/soutien-linnovation-technologique/soutien-financier-linnovation-technologique-pari-cnrc,Industrial Research Assistance Program,Programme d'aide à la recherche industrielle,,oth,econom,N,N,Y,N,"onl,oth,person,tel",ND,ND,0,0,0,ND,0,Y,Y,Y,Y,Y,Y,"onl,person","IRAP's funding services are delivered through multiple channels, including in-person, via telephone, email and other electronic means.  IRAP's model is based on its relationship with the client which means that there are an unlimited number of interactions prior to the delivery of funding.  Only once a client is ready for funding are they invited to apply.  As such, the program cannot count things such as telephone inquiries, website hits etc.","Les services de financement du PARI sont offerts par divers canaux, y compris en personne, par téléphone, par courrier électronique et par d'autres moyens électroniques. Le modèle du PARI repose sur sa relation avec le client, ce qui signifie qu'il existe un nombre illimité d'interactions avant la distribution du financement. Une fois que le client est prêt à recevoir du financement, il est invité à postuler. En tant que tel, le programme ne peut pas compter des choses telles que des demandes de renseignements téléphoniques, des visites de sites Web, etc"
2019-2020,1339,Client Service Centre (CSC),Centre de services à la clientèle,National Research Council Canada,Conseil national de recherches Canada,"extern,enterprise",adv,non,"CSC is responsible for the delivery of technical and support services for NRC. CSC operates a multi-functional service desk in partnership with IRAP, Knowledge Information Technical Services (KITS), Real Property Planning and Management (RPPM), Finance and Procurement Services (FPS) and Security Branch (SB)","Le Centre de service à la clientèle (CSC) est responsable de la prestation des services techniques et de soutien du CNRC. Le Centre opère un bureau de services multifonctionnels en partenariat avec le PARI, la Direction des services du savoir, de l’information et des technologies (SSIT), la Direction de la planification et de la gestion des biens immobiliers (PGBI) et les directions des finances (DF) et de la sécurité (DS).",https://nrc.canada.ca/en,https://nrc.canada.ca/fr,Communications Services,Services de communication,,,"econom,enviro,for,intern_gov,NGO,person,PTC",Y,N,NA,NA,"eml,tel",10380,0,ND,10380,ND,ND,17393,NA,NA,NA,NA,N,Y,"eml,fax,onl","The services provided are  advisory in nature and therefore applications for services are not applicable.

The service does give information to clients through the phone and through email but website visits are not tracked. 

Support Services:
•Answer external inquiries regarding NRC as well as IRAP/Concierge programs
•Record all activities in the Customer Relationship Management (CRM) - MS Dynamics tool.
•Triage and assess incoming calls to align with the seven step methodology in support of Industrial Technology Advisors (ITA) and Innovation Advisors (IA)
•Report performance metrics daily, weekly, monthly, quarterly, and yearly 

National Call Centre Support:
•Act as the central intake for NRC regarding external inquiries from the general public, other government agencies, or learning institutions (i.e. Universities)
•Register all events/requests in the Service Management application (Axios assyst) and refer to the appropriate C/B/I’s SME for resolution for follow-up as required
•Report performance metrics daily, weekly, monthly, quarterly, and yearly.","Les services fournis sont de type conseil et, par conséquent, les demandes de services ne sont pas applicables.

Services de soutien : 
• répondre aux demandes externes concernant le CNRC, le PARI et les programmes du service Concierge;
• consigner toutes les activités dans l’outil de gestion des relations avec la clientèle (GRC) Microsoft Dynamics;
• trier et évaluer les appels entrants en fonction de la méthode des sept étapes pour soutenir les conseillers en technologie industrielle (CTI) et les conseillers en innovation (CI);
• rendre compte quotidiennement, hebdomadairement, mensuellement, trimestriellement et annuellement des indicateurs de rendement. 

Soutien du Centre d’appels national :
• service d’accueil du CNRC concernant les demandes de l’extérieur, notamment du grand public, d’autres organismes du gouvernement ou d’établissements d’enseignement (p. ex., les universités);
• consigner tous les événements et toutes les demandes dans l’application de gestion des services Assyst d’Axios et référer à l’expert en la matière du Centre de recherche/Direction/PARI (CDP) approprié pour la résolution ou le suivi, au besoin.
• rendre compte quotidiennement, hebdomadairement, mensuellement, trimestriellement et annuellement des indicateurs de rendement."
2019-2020,1547,National Science Library,Bibliothèque scientifique nationale,National Research Council Canada,Conseil national de recherches Canada,extern,adv,prior,"The NRC National Science Library (NSL) offers a range of information-related services to the public and other libraries. Services include on-site access to physical collections (by appointment), online access to digital content through NRC's publicly available repositories (NRC Publications Archive and the Digital Repository), a searchable catalogue and information discovery platform, and reference/interlibrary loan services with other libraries.","La Bibliothèque scientifique nationale (BSN) du Conseil national de recherches du Canada (CNRC) offre au grand public et aux autres bibliothèques un large éventail de services liés à l’information. Parmi ces services figurent l’accès sur place aux collections en format papier (sur rendez-vous), l’accès en ligne au contenu numérique par le truchement des dépôts du CNRC accessibles au public (Archives des publications du CNRC et Dépôt numérique), un catalogue interrogeable et une plateforme de découverte d’information, ainsi que des services de référence et de prêt interbibliothèque.",https://bibliotheques-scientifiques.canada.ca/eng/national-science-library/,https://bibliotheques-scientifiques.canada.ca/fra/bibliotheque-scientifique-nationale/,National Science Library,Bibliothèque scientifique nationale,,,person,N,N,NA,NA,onl,ND,103022,16422,ND,ND,ND,ND,NA,NA,Y,NA,Y,N,"eml,onl,tel","Given the nature of library services, not all activities are tracked.","Étant donné la nature des services de bibliothèque, toutes les activités ne font pas l’objet d’un suivi."
2019-2020,1549,Federal Science Library,Bibliothèque scientifique federale,National Research Council Canada,Conseil national de recherches Canada,enterprise,im,non,"The Federal Science Library (FSL) delivers shared platforms and tools that are used by the libraries of participating federal departments/agencies, including a shared library catalogue and discovery platform.","Le service des opérations de la BSF applique un modèle de centre de services pour s’assurer que les responsables des ministères partenaires de la BSF disposent d’un guichet unique pour signaler les incidents, les demandes de service et les demandes de modifications. Cette norme stipule que la BSF doit accuser réception des courriels dans les 24 heures.",https://science-libraries.canada.ca/eng/home/,https://science-libraries.canada.ca/fra/accueil/,National Science Library,Bibliothèque scientifique nationale,,,intern_gov,N,Y,NA,NA,"onl,oth",ND,987792,172,ND,ND,ND,407,NA,NA,Y,NA,Y,N,"eml,onl,oth,tel","CRA and SIN numbers are not required for the delivery of library services

Total number is tracked, but not broken down by online, email, telephone, etc","Le numéro de l’ARC et le NAS ne sont pas requis pour la prestation des services de bibliothèque.

On fait le suivi du nombre total d’activités, mais elles ne sont pas ventilées par demande en ligne, courriel, numéro de téléphone, etc."
2019-2020,1554,Canada's Official Time,Heure officielle du Canada,National Research Council Canada,Conseil national de recherches Canada,"extern,enterprise","its,reg","essent,prior","Management and maintenance of the atomic clocks that keep time for Canada's telephone talking clock, CBC daily time broadcasts, computer time clocks, and internet servers.",Gestion et maintenance des horloges atomiques qui gardent l'heure de l'horloge parlante par téléphone du Canada ainsi que des horloges d'ordinateur et des serveurs Internet et qui permettent la diffusion quotidienne du signal horaire de la SRC,https://nrc.canada.ca/en/certifications-evaluations-standards/canadas-official-time,https://nrc.canada.ca/fr/certifications-evaluations-normes/heure-officielle-canada,Metrology,Métrologie,,,"econom,for,intern_gov,NGO,person,PTC",N,Y,NA,NA,"eml,onl,oth,person,tel",300000,48000000,0,0,0,ND,0,NA,NA,NA,NA,Y,Y,"eml,fax,onl,person,post,tel","CRA and SIN numbers are not required for the delivery of Canada’s official time. 

The majority of NRC time services are available freely to the public and no information on the users is being collected. As an example, the NRC web-clock web page has the third highest number of visits on the NRC website with more than 13,000 hits per month (156,000 per year). NRC NTP servers receive around 400,000 unique IP hits per month (48 million per year). The telephone talking clock receives about 300,000 calls every year. F&T developed new calibration and measurement capabilities for time dissemination that enable wide access to traceable time signal over standard NTP services.","Le numéro de l’ARC et le NAS ne sont pas requis pour la livraison de l’heure officielle du Canada.

La majorité des services de temps du CNRC sont accessibles gratuitement au public et aucune information sur les utilisateurs n’est recueillie. À titre d’exemple, la page Web de l’horloge du CNRC figure au troisième rang des sites Web les plus visités du CNRC, avec plus de 13 000 visites par mois (156 000 par an). Les serveurs NTP du CNRC reçoivent environ 400 000 visites IP uniques par mois (48 millions par an). L’horloge parlante reçoit environ 300 000 appels par an. Le personnel du laboratoire des fréquences et du temps du CNRC a mis au point de nouvelles capacités d’étalonnage et de mesure pour la diffusion du temps qui permettent un large accès à un signal de temps traçable par l’entremise des services NTP standard."
2019-2020,1555,Instrument Calibration Services,Services d'étalonnage d'instruments,National Research Council Canada,Conseil national de recherches Canada,"extern,enterprise","reg,reg_vol",prior,"NRC offers precision calibration of measurement equipment or standards in various areas that include the following: acoustical standards, black carbon metrology, dimensional metrology, electrical power measurements, electrical standards, Fourier Transform Infrared (FTIR) and Raman spectroscopy, frequency and time, ionizing radiation standards, mass standards, optical frequency/wavelength, photometry and radiometry, thermometry and humidity. In most instances, a calibration report is provided to the client upon completion of the service request.","Le CNRC offre l'étalonnage de précision d'équipement de mesure ou d'étalons dans les domaines suivants: étalons d'acoustique, métrologie du carbone noir, métrologie dimensionelle, mesures de puissance électrique, étalons d'électricité, spectroscopie Raman et FTIR, temps et fréquence, étalons de rayonnement ionisants, étalons de masse, fréquence optique et longueur d'onde, photométrie et radiométrie, thermométrie et humidité. Dans la majorité des cas, un rapport d'étalonnage est fourni au client lorsque la demande de service est complétée.",https://nrc.canada.ca/en/certifications-evaluations-standards/instrument-calibration-services,https://nrc.canada.ca/fr/certifications-evaluations-normes/services-detalonnage-dinstruments,Metrology,Métrologie,,,"econom,enviro,for,intern_gov,NGO,PTC",N,Y,NA,NA,"eml,person,tel",ND,ND,ND,0,0,ND,350,N,NA,NA,N,NA,N,"eml,fax,onl,person,post,tel","CRA and SIN numbers are not required for the delivery of Instrument Calibration Services. 

The number of telephone inquiries is not tracked. Inquiries in general are tracked but not by the source of the inquiry i.e. email, phone etc.

The number of website visits is not tracked either as clients cannot order online.","Le numéro de l’ARC et le NAS ne sont pas requis pour la prestation de services d’étalonnage d’instruments.

La tenue du nombre de demandes de renseignements téléphoniques n'est pas effectuée. La tenue du nombre de demandes de renseignements en général est effectuée, mais pas selon la source de la demande, c.-à-d. courriel, téléphone, etc.

La tenue du nombre de visites sur le site Web n'est pas non plus effectuée, car les clients ne peuvent pas commander en ligne."
