fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,service_description_en,service_description_fr,external_internal,service_type,special_designations,service_recipient_type,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,ident_platform,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,assessed_for_accessibility,year_of_last_service_review,year_of_last_service_improvement_based_on_client_feedback,calls_received,web_visits_info_service,online_applications,telephone_applications,telephone_enquiries,in_person_applications,postal_mail_applications,email_applications,fax_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2020-2021,2106,"Equality for Sex, Sexual Orientation, Gender Identity and Expression Program","Programme de promotion de l’égalité des sexes, de l’orientation sexuelle, de l’identité et de l’expression de genre",Women and Gender Equality Canada,Femmes et Égalité des genres Canada,"The objective of the Equality for Sex, Sexual Orientation, Gender Identity and Expression Program (SSOGIE program) is to advance social, political and economic equality with respect to sex, sexual orientation, gender identity or expression. In 2020,21, WAGE launched a call for proposals called the “LGBTQ2 Community Capacity Fund”, which is designed to build stronger capacity and networks of LGBTQ2 community organizations to advance LGBTQ2 equality across Canada.","L’objectif du Programme de promotion de l’égalité des sexes, de l’orientation sexuelle, de l’identité et de l’expression de genre (programme de promotion de l’égalité des SOSIEG) est de faire progresser l’égalité sociale, politique et économique en ce qui concerne le sexe, l’orientation sexuelle, l’identité de genre ou l’expression de genre. En 2020-2021, FEGC a lancé un appel de propositions appelé « Fonds de développement des capacités communautaires LGBTQ2 », qui est conçu pour renforcer les capacités et les réseaux d’organismes communautaires de services LGBTQ2 pour faire progresser l’égalité des personnes LGBTQ2 partout au Canada.",extern,gnc,prior,society,https://women-gender-equality.canada.ca/en/funding/funding-programs.html,https://femmes-egalite-genres.canada.ca/fr/financement/programmes-financement.html,Community Action and Innovation,Action communautaire et innovation,2020-2021,,"NGO,PTC",N,N,N,N,other/autre,2020,2020,not_applicable,23322,260,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,Y,N,Y,N,N,N,"eml,fax,onl,person,post,tel",,
2020-2021,2105,Gender-Based Violence Program,Programme de financement de la lutte contre la violence fondée sur le sexe,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,"The Gender-Based Violence (GBV) Program takes action under the second pillar of “It's Time: Canada's Strategy to Prevent and Address Gender-Based Violence” which is ""support for survivors and their families"". The GBV Program is population-specific, with the objective of supporting organizations working in the GBV sector to develop and implement promising practices in order to address gaps in supports for Indigenous and underserved groups of survivors in Canada. Funding is provided to eligible organizations in support of projects at the local, regional and national levels, and is available for time-specific projects that address gaps in supports for specific groups of survivors, including Indigenous women and their communities, and other underserved populations, such as: children and youth; ethno-cultural women; LGBTQ2S persons; non-status/refugee/immigrant women; seniors; women living in an official language minority community; women living in northern, rural and remote communities; and women living with a disability.","Les mesures du Programme de financement de la lutte contre la violence fondée sur le sexe sont prises dans le cadre du deuxième pilier d’« Il est temps : La stratégie du Canada pour prévenir et contrer la violence fondée sur le sexe », à savoir le « soutien aux personnes survivantes et à leur famille ». Le Programme s’adresse à des populations particulières et son objectif est d’appuyer les organismes œuvrant contre la violence fondée sur le sexe (VFS) à élaborer et mettre en œuvre des pratiques prometteuses pour combler les lacunes dans le soutien offert aux groupes de survivantes et de survivants autochtones et mal desservis au Canada.
Le financement est octroyé à des organismes admissibles qui soutiennent des projets à l’échelle locale, régionale et nationale; il est offert dans le cadre de projets ponctuels qui visent à combler les lacunes dans le soutien offert à des groupes particuliers de personnes survivantes, notamment les femmes autochtones et leurs collectivités, et d’autres populations mal desservies comme les enfants et les jeunes, les femmes racialisées, les personnes LGBTQ2S, les femmes réfugiées, immigrantes ou non inscrites; les personnes âgées, les femmes vivant dans une communauté de langue officielle en situation minoritaire, les femmes vivant dans une collectivité rurale, éloignée ou du Nord, et les femmes handicapées.",extern,gnc,prior,society,https://women-gender-equality.canada.ca/en/funding/funding-programs.html,https://femmes-egalite-genres.canada.ca/fr/financement/programmes-financement.html,Community Action and Innovation,Action communautaire et innovation,2020-2021,,"NGO,PTC",N,N,N,N,other/autre,2020,2020,not_applicable,23322,142,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,Y,N,Y,N,N,N,"eml,fax,onl,person,post,tel",,
2020-2021,2104,Women's Program,Programme de promotion de la femme,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,"The purpose of the Women’s Program is to advance equality for women in Canada by working to address or remove systemic barriers to their progress and advancement. The program provides grant and contribution funding to Canadian organizations to support actions that will lead to equality across Canada. Funded projects occur at the national, regional, and local levels and help to create the conditions for women’s success in Canada. The Program facilitates collaboration and networking, develops partnerships to address horizontal issues impacting women and girls, shares knowledge, and assists organizations working to advance women’s equality to gain access to expertise, resources and tools.","Le Programme de promotion de la femme vise à faire progresser l’égalité des femmes au Canada en travaillant à éliminer les obstacles systémiques à leur progrès et à leur avancement. Le programme octroie un financement sous forme de subventions et contributions à des organismes canadiens afin de soutenir des actions qui feront progresser l'égalité au Canada. Les projets financés sont de portée nationale, régionale ou locale et aident à créer des conditions propices à la réussite des femmes au Canada. Le Programme permet de faciliter la collaboration et le réseautage, de former des partenariats pour répondre aux questions horizontales touchant les femmes et les filles, de partager les connaissances et d’aider les organismes œuvrant à la réalisation de l'égalité des genres à avoir accès aux connaissances, aux ressources et aux outils.",extern,gnc,prior,society,https://women-gender-equality.canada.ca/en/funding/funding-programs.html,https://femmes-egalite-genres.canada.ca/fr/financement/programmes-financement.html,Community Action and Innovation,Action communautaire et innovation,2020-2021,,"NGO,PTC",N,N,N,N,other/autre,2020,2020,not_applicable,23322,no_data,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,Y,N,Y,N,N,N,"eml,fax,onl,person,post,tel",,
2020-2021,1554,Canada's Official Time,Heure officielle du Canada,National Research Council Canada,Conseil national de recherches Canada,"Management and maintenance of the atomic clocks that keep time for Canada's telephone talking clock, CBC daily time broadcasts, computer time clocks, and internet servers.",Gestion et maintenance des horloges atomiques qui gardent l'heure de l'horloge parlante par téléphone du Canada ainsi que des horloges d'ordinateur et des serveurs Internet et qui permettent la diffusion quotidienne du signal horaire de la SRC,"extern,enterprise",reg_vol,"essent,prior",client,https://nrc.canada.ca/en/certifications-evaluations-standards/canadas-official-time,https://nrc.canada.ca/fr/certifications-evaluations-normes/heure-officielle-canada,Metrology,Métrologie,,,"econom,for,intern_gov,NGO,person,PTC",N,Y,NA,NA,not assessed,,,300000,202000,not_applicable,not_applicable,300000,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,NA,NA,NA,NA,Y,Y,"eml,fax,onl,person,post,tel","The majority of NRC time services are available freely to the public and no information on the users is being collected. As an example, the NRC web-clock web page has the third highest number of visits on the NRC website with almost 17,000 hits per month (202,000 per year). NRC NTP servers receive around 600,000 unique IP hits per month (7.2 million per year). The telephone talking clock receives about 300,000 calls every year. The Frequency and Time teams developed new calibration and measurement capabilities for time dissemination that enable wide access to traceable time signal over standard NTP services.

CRA and SIN numbers are not required for the delivery of Canada’s official time.","La plupart des services de temps du CNRC sont offerts gratuitement au public, sans collecte de données sur les utilisateurs. Par exemple, l’horloge Web qui donne l’heure officielle est la page du site Web du CNRC qui vient en troisième place pour ce qui est du nombre de visites, avec pratiquement 17 000 visites par mois (202 000 par année). Les serveurs NTP du CNRC enregistrent autour de 600 000 visites uniques par mois (7,2 millions par année). L’horloge parlante reçoit environ 300 000 appels par année. Les équipes des Services d’étalonnage de temps et fréquence ont développé de nouveaux outils d’étalonnage et de mesure pour la diffusion des signaux de temps qui permettent un large accès à des signaux traçables dans tous les services NTP standards.

Il n’est pas nécessaire de fournir un numéro d’entreprise de l’ARC ou un NAS pour avoir accès à l’heure officielle du Canada."
2020-2021,1550,Access to Information and Privacy Acts,Lois sur l'accès à l'information et la protection des renseignements personnels,National Research Council Canada,Conseil national de recherches Canada,"The Access to Information Act gives Canadian citizens, permanent residents, and any person or corporation present in Canada a right to access records of government institutions that are subject to the Act. The Privacy Act gives Canadian citizens, permanent residents, and individuals present in Canada the right to access their personal information held by government institutions that are subject to the Act, and protects that information against unauthorized collection, use, retention and disclosure.","La Loi sur l’accès à l’information accorde aux citoyens canadiens, aux résidents permanents et à toute personne ou société présents au Canada un droit d’accès aux documents des institutions fédérales assujetties à la Loi. La Loi sur la protection des renseignements personnels donne aux citoyens canadiens, aux résidents permanents et aux personnes présentes au Canada le droit d’accéder à leurs renseignements personnels détenus par les institutions gouvernementales assujetties à la Loi, et protège ces renseignements contre la collecte, l’utilisation, la conservation et la divulgation non autorisées.",extern,info,prior,,https://nrc.canada.ca/en/corporate/planning-reporting/access-information-privacy-acts-atip,https://nrc.canada.ca/fr/organisation/planification-rapports/lois-lacces-linformation-protection-renseignements-personnels-aiprp,Management and Oversight Services,Services de gestion et de surveillance,,signin_authenti,"econom,person",Y,Y,NA,NA,,,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Y,N,Y,N,N,N,,,
2020-2021,1560,IRAP Advisory Services through Contributions to Organizations,Services-conseils du PARI - contributions aux organismes,National Research Council Canada,Conseil national de recherches Canada,"ITAs leverage IRAP's relationships with service organizations and providers, industry associations, universities and colleges,  other government programs and agencies, and  financing groups to allow SMEs access the required capacity, talent, services, and collaboration opportunities  necessary to grow their business.","Les ITA s'appuientsur les relations du PARI avec les universités et les collèges, d'autres programmes et agences gouvernementaux, des groupes de financement, des fournisseurs de services et des associations de l'industrie pour permettre aux PME d'accéder à la capacité, aux talents, aux services et aux possibilités de collaboration nécessaires à la croissance de leurs activités.",extern,info,prior,client,https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-advisory-services,https://nrc.canada.ca/fr/soutien-linnovation-technologique/services-conseils-pari-cnrc,Industrial Research Assistance Program,Programme d'aide à la recherche industrielle,,,econom,N,N,Y,N,other/autre,2020,2020,0,not_applicable,not_applicable,no_data,0,no_data,not_applicable,no_data,no_data,no_data,NA,NA,NA,NA,NA,Y,"onl,person","SIN numbers are not required for the delivery of IRAP services. 

IRAP's advisory services are delivered by Industrial Technology Advisors (ITA),  through multiple channels, including in-person, via telephone, email and other electronic means.  IRAP's model is based on ITAs relationship with the client via multiple number of interactions. Depending on client's business and/or technology needs, ITAs will refer a  client to one of the support organizations IRAP works with. All SMEs can receive advisory services,however  only clients reaching a readiness state  are invited to apply for financial support; as a result telephone inquiries, website, etc. hits are not applicable.","Le NAS n’est pas requis pour la prestation des services du PARI

Les services consultatifs du PARI sont fournis par des conseillers en technologie industrielle (CTI), par divers moyens, notamment en personne, par téléphone, par courriel et par d'autres moyens électroniques.  Le modèle du PARI est fondé sur la relation des CTI avec le client par le biais de multiples interactions. Selon les besoins commerciaux ou technologiques du client, les CTI dirigeront le client vers l'un des organismes de soutien avec lesquels le PARI travaille. Toutes les PME peuvent bénéficier de services de conseil, mais seuls les clients en état de préparation sont invités à demander une aide financière ; par conséquent, les demandes téléphoniques, les visites sur le site Web, etc. ne sont pas applicables."
2020-2021,1556,Calibration laboratory assessment service,Service d'évaluation des laboratoires d'étalonnage,National Research Council Canada,Conseil national de recherches Canada,"In Canada, the accreditation of calibration laboratories is the shared responsibility of the Standards Council of Canada (SCC) and the National Research Council of Canada (NRC) Calibration Laboratory Assessment Service (CLAS). The CLAS program provides quality system and technical assessment services and certification of specific measurement capabilities of calibration laboratories in support of the Canadian National Measurement System.","Au Canada, l'accréditation des laboratoires d'étalonnage incombe conjointement au Conseil canadien des normes (CCN) et au Conseil national de recherches du Canada (CNRC) Le CNRC administre le Service d'évaluation des laboratoires d'étalonnage (CLAS). Le programme CLAS fournit l'évaluation et la certification technique des capacités spécifiques de mesurage des laboratoires d'étalonnage à l'appui du Système national de mesure du Canada. La certification CLAS est exigée pour l'accréditation des laboratoires d'étalonnage.","extern,enterprise",apir,prior,client,https://nrc.canada.ca/en/certifications-evaluations-standards/calibration-laboratory-assessment-service/https://nrc.canada.ca/en/certifications-evaluations-standards/calibration-laboratory-assessment-service/directory-accredited-calibration-laboratories,https://nrc.canada.ca/fr/certifications-evaluations-normes/service-devaluation-laboratoires-detalonnage/https://nrc.canada.ca/fr/certifications-evaluations-normes/service-devaluation-laboratoires-detalonnage/repertoire-laboratoires-detalonnage-accredites,Metrology,Métrologie,,,"econom,enviro,for,intern_gov,NGO,PTC",N,Y,NA,NA,not assessed,,2020,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,18,NA,NA,N,N,NA,N,"eml,fax,onl,person,post,tel","CRA and SIN numbers are not required for the delivery Calibration laboratory assessment services.

We do not keep track of the number of telephone inquiries perse. We keep track of inquiries in general just not the source of the inquiry i.e. email, phone etc.

We also do not keep track of the number of website visits as clients are unable to order online.","Le numéro de l’ARC et le NAS ne sont pas requis pour la prestation des services d’évaluation des laboratoires d’étalonnage.

Nous ne prenons pas en note le nombre de demandes de renseignements téléphoniques. Nous gardons en note les demandes de renseignements en général, mais pas la source de la demande, c.-à-d. courriel, téléphone, etc.

Nous ne tenons pas non plus compte du nombre de visites sur le site Web, car les clients ne peuvent pas commander en ligne."
2020-2021,1558,IRAP Advisory Services to Firms,Services-conseils du PARI aux entreprises,National Research Council Canada,Conseil national de recherches Canada,"IRAP's Industrial Technology Advisors (ITAs) are seasoned R&D professionals with  extensive experience in management of small and medium-sized businesses, who offer technical and business advice, referrals, and other services from the conceptualization to commercialization to Canadian SMEs.","Les conseillers en technologie industrielle (ITA) du PARI sont des professionnels chevronnés de la RD possédant une vaste expérience de la gestion de petites et moyennes entreprises. Ils offrent des conseils techniques et commerciaux, des références et d'autres services allant de la conceptualisation à la commercialisation, aux PME canadiennes.",extern,info,prior,client,https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-advisory-services,https://nrc.canada.ca/fr/soutien-linnovation-technologique/services-conseils-pari-cnrc,Industrial Research Assistance Program/Communications Services,Programme d'aide à la recherche industrielle/Services de communication,,,econom,N,N,Y,N,other/autre,2020,2020,0,not_applicable,not_applicable,no_data,0,no_data,not_applicable,no_data,no_data,no_data,NA,NA,NA,NA,NA,Y,"onl,person","The service delivery does not require interaction points where N/A was selected. Per TBS guidance – online registration and authentication are N/A for advisory services.

Prior to receiving services, firms participate in an intake process through which eligibility is determined. Firms eligible for IRAP services are then registered in IRAP’s information management system upon receipt of a service from IRAP. 

IRAP advisory services cannot be issued nor published online because the advice given by Industrial Technical Advisors is very firm specific.","Aucun point d’interaction nécessaire pour la fourniture du service lorsque l’option «non spécifié  » est choisie. Selon les lignes directrices du SCT, les champs d’inscription en ligne et d’authentification doivent être réglés à «non spécifié  ».

Une confirmation d’admissibilité est nécessaire pour que les entreprises participantes puissent recevoir les services. Le système de gestion des données du PARI enregistre les entreprises admissibles aux services du PARI au moment où celles-ci reçoivent un service du PARI.

Les services consultatifs offerts par le PARI ne sont pas publiés en ligne, car les services donnés par les conseillers en technologie industrielle sont adaptés sur mesure aux entreprises bénéficiaires."
2020-2021,1549,Federal Science Libraries Network (FSLN),Réseau des bibliothèques scientifiques fédérales (RBSF),National Research Council Canada,Conseil national de recherches Canada,"The Federal Science Libraries Network (FSLN) delivers shared platforms and tools that are used by the libraries of participating federal departments/agencies, including a shared library catalogue and discovery platform.","Le Réseau des bibliothèques scientifiques fédérales (RBSF) offre l’accès à des plateformes et à des outils partagés utilisés par les bibliothèques des ministères et organismes fédéraux participants, y compris un catalogue de bibliothèque commun et une plateforme de découverte d’information.",enterprise,info,non,client,https://science-libraries.canada.ca/eng/home/,https://science-libraries.canada.ca/fra/accueil/,National Science Library,Bibliothèque scientifique nationale,,,intern_gov,N,Y,NA,NA,WCAG 2.0 AA,2020,2020,no_data,675639,161,not_applicable,no_data,no_data,no_data,361,not_applicable,no_data,NA,NA,Y,NA,Y,N,"eml,onl,oth,tel",,
2020-2021,1677,The Canadian Astronomy Data Centre (CADC),Le Centre canadien de données astronomiques (CCDA),National Research Council Canada,Conseil national de recherches Canada,"CADC provides astronomical data to the Canadian and global astronomical communities. It is a web-based observatory that houses some of the world's most important astronomical data collections, including those from the Canada-France-Hawaii Telescope ( CFHT ), the twin Gemini telescopes and the James Clerk Maxwell Telescope.","Le CCDA fourni des données astronomiques au milieu canadien et au milieu mondial de l'astronomie. Il s'agit d'un observatoire en ligne qui abrite certaines des plus importantes collections de données astronomiques au monde, notamment celles du télescope Canada-France-Hawaii (TCFH), des deux télescopes Gemini et du télescope James Clerk Maxwell.",extern,info,prior,client,http://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/en/,http://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/fr/,Herzberg Astronomy & Astrophysics,"Herzberg, Astronomie et astrophysique",,oth,person,N,N,NA,NA,WCAG 2.0 AA,2020,2020,0,22412,0,0,0,0,0,0,0,0,Y,NA,NA,NA,Y,N,"eml,fax,post,tel",Users are not required to make an application.  Web page visits are not particularly relevant but are provided.  More informative is the data retrieval and data processing rates for this service.,"Les utilisateurs ne sont pas tenus de créer une application.  Les visites de pages Web ne sont pas particulièrement pertinentes, mais sont fournies.  Les taux de récupération et de traitement des données pour ce service sont plus informatifs."
