fiscal_yr,service_id,service_name_en,service_name_fr,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,target_type,service_std_target,volume_meeting_target,total_volume,performance,gcss_tool_fiscal_yr,channel,standard_channel_comment_en,standard_channel_comment_fr,standard_comment_en,standard_comment_fr,realtime_result_url_en,realtime_result_url_fr,department_name_en,department_name_fr
2020-2021,2106,"Equality for Sex, Sexual Orientation, Gender Identity and Expression Program","Programme de promotion de l’égalité des sexes, de l’orientation sexuelle, de l’identité et de l’expression de genre",3080,Issue payments within 20 business days of the successful fulfillment of requirements outlined in the funding agreement.,Notre objectif est d’émettre les paiements dans un délai de 20 jours ouvrables après que les exigences énoncées dans l’entente de financement ont été satisfaites.,,,time,percentage,80,48,49,98.0,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2020-2021,2106,"Equality for Sex, Sexual Orientation, Gender Identity and Expression Program","Programme de promotion de l’égalité des sexes, de l’orientation sexuelle, de l’identité et de l’expression de genre",3081,Acknowledge receipt of application forms within 2 business days.,Notre objectif est d’accuser réception du formulaire de demande dans un délai de 2 jours ouvrables.,,,time,percentage,100,260,260,100.0,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2020-2021,2105,Gender-Based Violence Program,Programme de financement de la lutte contre la violence fondée sur le sexe,3083,Issue payments within 20 business days of the successful fulfillment of requirements outlined in the funding agreement.,Notre objectif est d’émettre les paiements dans un délai de 20 jours ouvrables après que les exigences énoncées dans l’entente de financement ont été satisfaites.,,,time,percentage,80,94,117,80.0,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2020-2021,2105,Gender-Based Violence Program,Programme de financement de la lutte contre la violence fondée sur le sexe,3082,Acknowledge receipt of application forms within 2 business days.,Notre objectif est d’accuser réception du formulaire de demande dans un délai de 2 jours ouvrables.,,,time,percentage,100,142,142,100.0,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2020-2021,2104,Women's Program,Programme de promotion de la femme,3085,Acknowledge receipt of application forms within 2 business days.,Notre objectif est d’accuser réception du formulaire de demande dans un délai de 2 jours ouvrables.,,,time,percentage,100,0,0,ND,2019-2020,onl,,,On line application was decommissioned. The number of applications for that year is unavailable. The acknowledgement of receipt of application was automated.,L'application en ligne a été mise hors service. Le nombre d'applications pour 2020-21 n'est pas disponible. L'accusé de réception des applications était automatisé.,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2020-2021,2104,Women's Program,Programme de promotion de la femme,3084,Issue payments within 20 business days of the successful fulfillment of requirements outlined in the funding agreement.,Notre objectif est d’émettre les paiements dans un délai de 20 jours ouvrables après que les exigences énoncées dans l’entente de financement ont été satisfaites.,,,time,percentage,80,510,589,87.0,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2020-2021,1554,Canada's Official Time,Heure officielle du Canada,1551,Clients should have 24 hour access to an accurate time signal.,Les clients devraient avoir un accès 24 heures sur 24 à un signal horaire précis.,,,acces,percentage,100,1,1,100.0,,oth,"The service is standard is administered through the following channels: 
•Telephone 
•Online
•Email","La norme de service est administrée par les voies suivantes :
• téléphone; 
• en ligne
• courriel.","Canadian official time is disseminated to the public via multiple routes: short wave radio broadcast, Network Time Protocol service, telephone talking clock and other.","Le signal horaire officiel du Canada est diffusé au public par plusieurs moyens : par service sur ondes courtes, par le service NTP, par l’horloge parlante téléphonique et d’autres encore.",,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1550,Access to Information and Privacy Acts,Lois sur l'accès à l'information et la protection des renseignements personnels,2168,"The Access to Information and Privacy Acts allow for a legal response time of 30 calendar days from the date an official request is received. However, the Acts also allow for legal extensions.",La Loi sur l’accès à l’information et la Loi sur la protection des renseignements personnels prévoient un délai légal de 30 jours civils à compter de la réception d’une demande officielle. Ces lois prévoient également une prolongation de ce premier délai.,,,time,percentage,0,0,0,ND,,oth,N/A,N/A,TBS had communicated that departments do not have to report 2020-21 information for ATIP.,Le SCT a communiqué aux ministères qu'ils n'ont pas à rapporter l'information de 2020-21 pour l'AIPRP.,,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1560,IRAP Advisory Services through Contributions to Organizations,Services-conseils du PARI - contributions aux organismes,3927,IRAP partner organizations deliver advisory services that clients would recommend to their professional network (as indicated by an “excellent” Net Promoter Score [≥50]).,Les organismes partenaires du PARI CNRC offrent des services consultatifs que les clients recommanderaient à leur réseau professionnel [comme l’indique un taux de recommandation net « excellent » (≥50)].,https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-service-standards,https://nrc.canada.ca/fr/soutien-linnovation-technologique/normes-service-pari-cnrc,oth,other_type,ND,ND,ND,ND,,oth,"Net Promoter Score [NPS] can vary from -100 to +100. A positive score is considered good, while a score above 50 is considered excellent and above 70 is considered exceptional. For 2020-21, NRC IRAP exceeded its target of NPS 50 with a score of 60. The service standard is administered through the following channels: 
•Telephone 
•In-person
•Email","Le taux de recommandation net peut varier de -100 à +100. Un taux positif est considéré comme bon, alors qu’un taux supérieur à 50 est considéré comme excellent et l’un qui est supérieur à 70 est considéré comme exceptionnel. Pour 2020-2021, le PARI CNRC a dépassé son objectif de 50 avec un taux de 60.La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• courriel",,,,,National Research Council Canada,Conseil national de recherches Canada
2020-2021,1556,Calibration laboratory assessment service,Service d'évaluation des laboratoires d'étalonnage,1555,We aim to provide clients with the final results of the calibration laboratory assessment within 1 week of having provided the draft report at the end of the site visit. Final reports include a decision on whether labs are eligible for accreditation through SCC based on CLAS eligibility criteria.,Notre objectif est de fournir aux clients les résultats finaux de l'évaluation du laboratoire d'étalonnage dans un délai d'une semaine après avoir fourni le projet de rapport à la fin de la visite du site. Les rapports finaux comprennent une décision sur l'admissibilité des laboratoires à l'accréditation par le CCN reposant sur les critères d'admissibilité du CLAS.,,,time,percentage,100,18,18,100.0,,oth,"The service is standard is administered through the following channels: 
•Telephone 
•In-person
•Email","La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• en ligne.","Performance targets are dependent on the client successfully implementing the accreditation requirements. For the 40 laboratories accredited, 18 remote assessments were completed in 2020-21; 2 laboratories voluntarily withdrew from the program.","Les cibles de rendement sont subordonnées à la capacité des clients de mettre en œuvre les exigences d’accréditation. En 2020-2021, 18 des 40 laboratoires accrédités ont fait l’objet d’une évaluation à distance, et 2 se sont désistés du programme.",,,National Research Council Canada,Conseil national de recherches Canada
